Title,Media URL,Pinterest board,Thumbnail,Description,Link,Publish date,Keywords
Does your $65 cake pay for your time?,https://www.cakequotekit.app/assets/pins/pin-01.png,Cake Pricing & Profit,,"Ingredients are only part of the quote. In this illustrative example, costs including chosen pay total $71.25 at a $65 price. Check your own costs with the free calculator and request the result by email. The complete Excel kit is sold separately.",https://www.cakequotekit.app/?utm_source=pinterest&utm_medium=organic_social&utm_campaign=cq_launch_30d&utm_content=pin01#calculator,2026-09-11 10:00:00,"cake pricing, how to price a cake, cake business, home bakery"
25% markup is not 25% margin,https://www.cakequotekit.app/assets/pins/pin-02.png,Cake Pricing & Profit,,"On $60 of costs, a 25% markup gives a $75 price. A 25% margin requires $80 before additional fees and tax. Use the free cake pricing calculator to check your own inputs. Result by email; Excel workbook sold separately.",https://www.cakequotekit.app/?utm_source=pinterest&utm_medium=organic_social&utm_campaign=cq_launch_30d&utm_content=pin02#calculator,2026-09-12 10:00:00,"cake pricing, how to price a cake, cake business, home bakery"
Five costs to check before quoting a cake,https://www.cakequotekit.app/assets/pins/pin-03.png,Cake Business Checklists,,"Ingredients, working time, packaging, allocated overheads and payment fees belong in the price check. Use your own numbers in the free cake calculator. Request the result by email. Optional paid Excel kit available.",https://www.cakequotekit.app/?utm_source=pinterest&utm_medium=organic_social&utm_campaign=cq_launch_30d&utm_content=pin03#calculator,2026-09-13 10:00:00,"cake pricing checklist, cake business, home bakery tips"
Cake pricing starts with your working hours,https://www.cakequotekit.app/assets/pins/pin-04.png,Cake Pricing & Profit,,"Have you counted the work around the cake as well as decorating? Review sourcing, baking, cleaning and order admin. Enter your own time and chosen pay in the free price check. Get the result by email.",https://www.cakequotekit.app/?utm_source=pinterest&utm_medium=organic_social&utm_campaign=cq_launch_30d&utm_content=pin04#calculator,2026-09-14 10:00:00,"cake pricing, how to price a cake, cake business, home bakery"
A cake box belongs in the quote too,https://www.cakequotekit.app/assets/pins/pin-05.png,Cake Pricing & Profit,,"Boards, boxes and packaging can be easy to miss when reusing an old quote. Check the inputs behind your next price with the free calculator. Email result available; complete Excel workbook sold separately.",https://www.cakequotekit.app/?utm_source=pinterest&utm_medium=organic_social&utm_campaign=cq_launch_30d&utm_content=pin05#calculator,2026-09-15 10:00:00,"cake pricing, how to price a cake, cake business, home bakery"
What does your payment fee do to the cake price?,https://www.cakequotekit.app/assets/pins/pin-06.png,Cake Pricing & Profit,,A percentage fee changes with the selling price. Add your real provider fees to your costs before choosing a margin. Try the free cake price check and receive your calculation by email.,https://www.cakequotekit.app/?utm_source=pinterest&utm_medium=organic_social&utm_campaign=cq_launch_30d&utm_content=pin06#calculator,2026-09-16 10:00:00,"cake pricing, how to price a cake, cake business, home bakery"
How much does the recipe actually cost?,https://www.cakequotekit.app/assets/pins/pin-07.png,Cake Pricing & Profit,,"Use the cost of the amount in the recipe, not the whole pack price. Example: $4 per 1,000 g means 250 g costs $1. Check your full cake costs in the free calculator. Illustrative figures; result by email.",https://www.cakequotekit.app/?utm_source=pinterest&utm_medium=organic_social&utm_campaign=cq_launch_30d&utm_content=pin07#calculator,2026-09-17 10:00:00,"cake pricing, how to price a cake, cake business, home bakery"
Is the cake price covering your chosen pay?,https://www.cakequotekit.app/assets/pins/pin-08.png,Cake Pricing & Profit,,"A quote may cover ingredients while leaving too little for the hours you entered. Check ingredients, time, overheads and fees together. The free calculator sends the requested result by email.",https://www.cakequotekit.app/?utm_source=pinterest&utm_medium=organic_social&utm_campaign=cq_launch_30d&utm_content=pin08#calculator,2026-09-18 10:00:00,"cake pricing, how to price a cake, cake business, home bakery"
Cleaning time is still working time,https://www.cakequotekit.app/assets/pins/pin-09.png,Cake Pricing & Profit,,"Before the next custom cake quote, review the tasks that belong to that order. Include the hours you expect to work and the pay you choose. Try one free cake price check; result by email.",https://www.cakequotekit.app/?utm_source=pinterest&utm_medium=organic_social&utm_campaign=cq_launch_30d&utm_content=pin09#calculator,2026-09-19 10:00:00,"cake pricing, how to price a cake, cake business, home bakery"
Check the margin before sending the cake quote,https://www.cakequotekit.app/assets/pins/pin-10.png,Cake Pricing & Profit,,Margin and markup use different denominators. Use your own cake costs to check the price for your chosen margin. Free calculator with email result; paid desktop Excel kit optional.,https://www.cakequotekit.app/?utm_source=pinterest&utm_medium=organic_social&utm_campaign=cq_launch_30d&utm_content=pin10#calculator,2026-09-20 10:00:00,"cake pricing, how to price a cake, cake business, home bakery"
