Keyword Stats 2026-09-09 at 17_08_09
1. srpna 2025 - 31. července 2026
Keyword	Currency	Segmentation	Avg. monthly searches	Three month change	YoY change	Competition	Competition (indexed value)	Top of page bid (low range)	Top of page bid (high range)	Ad impression share	Organic average position	Organic impression share	In Account	Searches: Aug 2025	Searches: Sep 2025	Searches: Oct 2025	Searches: Nov 2025	Searches: Dec 2025	Searches: Jan 2026	Searches: Feb 2026	Searches: Mar 2026	Searches: Apr 2026	Searches: May 2026	Searches: Jun 2026	Searches: Jul 2026
		Všechny	3780.0
		Spojené státy americké	3780.0
cake business pricing	CZK
cake cost calculator	CZK		1600.0	-47%	-47%	Nízká	5	"34,00"	"93,94"					1900	1900	2900	1600	1000	1000	880	1600	1900	1900	1900	1000
cake order form template	CZK		210.0	-46%	27%	Vysoká	100	"18,78"	"83,20"					320	320	170	210	90	170	170	260	260	260	170	140
cake pricing calculator	CZK		1600.0	-47%	-47%	Nízká	5	"34,00"	"93,94"					1900	1900	2900	1600	1000	1000	880	1600	1900	1900	1900	1000
cake pricing guide	CZK		50.0	25%	-44%	Střední	51							70	50	50	50	30	40	50	50	50	40	30	50
cake pricing spreadsheet	CZK		20.0	150%	150%	Nízká	30							10	20	10	10	10	20	10	20	30	20	10	50
cupcake pricing calculator	CZK		90.0	100%	100%	Nízká	0							90	90	90	50	40	70	50	70	90	70	90	140
home bakery pricing	CZK		10.0	0%	0%	Nízká	0							10	10	20	10	10	10	10	10	20	10	10	10
how much to charge for a cake	CZK		90.0	-22%	-50%	Nízká	1							90	90	110	70	70	70	70	90	90	90	70	70
how to price a cake	CZK		110.0	-18%	-36%	Nízká	4							170	140	140	90	70	110	110	140	170	110	110	90
