id,title_en,description_en,board,destination_url,ready_asset,visual_brief_cz,status,editable_asset,alt_text_en
pin01,Does your $65 cake pay for your time?,"Ingredients are only part of the quote. In this illustrative example, costs including chosen pay total $71.25 at a $65 price. Check your own costs with the free calculator and request the result by email. The complete Excel kit is sold separately.",Cake Pricing & Profit,https://www.cakequotekit.app/?utm_source=pinterest&utm_medium=organic_social&utm_campaign=cq_launch_30d&utm_content=pin01#calculator,PNG/pin-01.png,Hotová grafika PNG a editovatelná sazba SVG.,ready_not_published,SVG/pin-01.svg,"Illustrative cake costing at a $65 selling price: entered costs and chosen pay total $71.25, leaving a $6.25 gap."
pin02,25% markup is not 25% margin,"On $60 of costs, a 25% markup gives a $75 price. A 25% margin requires $80 before additional fees and tax. Use the free cake pricing calculator to check your own inputs. Result by email; Excel workbook sold separately.",Cake Pricing & Profit,https://www.cakequotekit.app/?utm_source=pinterest&utm_medium=organic_social&utm_campaign=cq_launch_30d&utm_content=pin02#calculator,PNG/pin-02.png,Hotová grafika PNG a editovatelná sazba SVG.,ready_not_published,SVG/pin-02.svg,"A $60 cost gives a $75 price with 25% markup, versus $80 for a 25% margin before fees and tax."
pin03,Five costs to check before quoting a cake,"Ingredients, working time, packaging, allocated overheads and payment fees belong in the price check. Use your own numbers in the free cake calculator. Request the result by email. Optional paid Excel kit available.",Cake Business Checklists,https://www.cakequotekit.app/?utm_source=pinterest&utm_medium=organic_social&utm_campaign=cq_launch_30d&utm_content=pin03#calculator,PNG/pin-03.png,Hotová grafika PNG a editovatelná sazba SVG.,ready_not_published,SVG/pin-03.svg,"Five cake pricing inputs: ingredients, working time, packaging, overheads and payment fees."
pin04,Cake pricing starts with your working hours,"Have you counted the work around the cake as well as decorating? Review sourcing, baking, cleaning and order admin. Enter your own time and chosen pay in the free price check. Get the result by email.",Cake Pricing & Profit,https://www.cakequotekit.app/?utm_source=pinterest&utm_medium=organic_social&utm_campaign=cq_launch_30d&utm_content=pin04#calculator,PNG/pin-04.png,Hotová grafika PNG a editovatelná sazba SVG.,ready_not_published,SVG/pin-04.svg,Cake pricing example: three working hours at a chosen $15 rate add $45 before other costs.
pin05,A cake box belongs in the quote too,"Boards, boxes and packaging can be easy to miss when reusing an old quote. Check the inputs behind your next price with the free calculator. Email result available; complete Excel workbook sold separately.",Cake Pricing & Profit,https://www.cakequotekit.app/?utm_source=pinterest&utm_medium=organic_social&utm_campaign=cq_launch_30d&utm_content=pin05#calculator,PNG/pin-05.png,Hotová grafika PNG a editovatelná sazba SVG.,ready_not_published,SVG/pin-05.svg,"Illustration of a cake box with a ribbon and a reminder to include boards, boxes and finishing materials."
pin06,What does your payment fee do to the cake price?,A percentage fee changes with the selling price. Add your real provider fees to your costs before choosing a margin. Try the free cake price check and receive your calculation by email.,Cake Pricing & Profit,https://www.cakequotekit.app/?utm_source=pinterest&utm_medium=organic_social&utm_campaign=cq_launch_30d&utm_content=pin06#calculator,PNG/pin-06.png,Hotová grafika PNG a editovatelná sazba SVG.,ready_not_published,SVG/pin-06.svg,Example payment fee calculation: 3% of a $65 price plus $0.30 equals $2.25.
pin07,How much does the recipe actually cost?,"Use the cost of the amount in the recipe, not the whole pack price. Example: $4 per 1,000 g means 250 g costs $1. Check your full cake costs in the free calculator. Illustrative figures; result by email.",Cake Pricing & Profit,https://www.cakequotekit.app/?utm_source=pinterest&utm_medium=organic_social&utm_campaign=cq_launch_30d&utm_content=pin07#calculator,PNG/pin-07.png,Hotová grafika PNG a editovatelná sazba SVG.,ready_not_published,SVG/pin-07.svg,"Recipe cost example: a $4 pack of 1,000 grams means using 250 grams costs $1."
pin08,Is the cake price covering your chosen pay?,"A quote may cover ingredients while leaving too little for the hours you entered. Check ingredients, time, overheads and fees together. The free calculator sends the requested result by email.",Cake Pricing & Profit,https://www.cakequotekit.app/?utm_source=pinterest&utm_medium=organic_social&utm_campaign=cq_launch_30d&utm_content=pin08#calculator,PNG/pin-08.png,Hotová grafika PNG a editovatelná sazba SVG.,ready_not_published,SVG/pin-08.svg,"Example cake costs shown as horizontal bars: ingredients $18, work $45, packaging and overhead $6, payment fee $2.25."
pin09,Cleaning time is still working time,"Before the next custom cake quote, review the tasks that belong to that order. Include the hours you expect to work and the pay you choose. Try one free cake price check; result by email.",Cake Pricing & Profit,https://www.cakequotekit.app/?utm_source=pinterest&utm_medium=organic_social&utm_campaign=cq_launch_30d&utm_content=pin09#calculator,PNG/pin-09.png,Hotová grafika PNG a editovatelná sazba SVG.,ready_not_published,SVG/pin-09.svg,Clock illustration and example costing: 30 minutes at $15 per hour adds $7.50 of chosen pay.
pin10,Check the margin before sending the cake quote,Margin and markup use different denominators. Use your own cake costs to check the price for your chosen margin. Free calculator with email result; paid desktop Excel kit optional.,Cake Pricing & Profit,https://www.cakequotekit.app/?utm_source=pinterest&utm_medium=organic_social&utm_campaign=cq_launch_30d&utm_content=pin10#calculator,PNG/pin-10.png,Hotová grafika PNG a editovatelná sazba SVG.,ready_not_published,SVG/pin-10.svg,Example margin calculation: $60 cost divided by 0.75 gives an $80 price for 25% margin before fees and tax.
